date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:29	924/924	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:27%20GMT	http://www.comebackearlytoday.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.comebackearlytoday.com%2Fvisit-loved-alzheimers-recognize%2F	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-json/oembed/1.0/embed.2c99f4.delayed	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:29	831/831	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:27%20GMT	http://www.comebackearlytoday.com/author/marie/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/author/marie/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:30	856/856	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:27%20GMT	http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/feed/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/visit-loved-alzheimers-recognize/feed/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:30	825/825	---M--	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:28%20GMT	http://www.comebackearlytoday.com/?p=3246	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/index066e.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:32	939/939	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:29%20GMT	http://www.comebackearlytoday.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.comebackearlytoday.com%2Fvisit-loved-alzheimers-recognize%2F&format=xml	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-json/oembed/1.0/embed.2d24d3.delayed	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:32	700/700	---M-Z	200	added ('OK')	application/javascript	etag:%222bc-58b22c48cba02-gzip%22	http://www.comebackearlytoday.com/wp-content/plugins/akismet/_inc/form.js?ver=4.1.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/akismet/_inc/form8aee.js	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:35	833/833	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:32%20GMT	http://www.comebackearlytoday.com/tag/alzheimers/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/alzheimers/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:35	832/832	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:32%20GMT	http://www.comebackearlytoday.com/tag/caregiver/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/caregiver/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:35	833/833	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:32%20GMT	http://www.comebackearlytoday.com/tag/caregiving/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/caregiving/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:35	831/831	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:32%20GMT	http://www.comebackearlytoday.com/tag/dementia/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/dementia/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:38	834/834	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:35%20GMT	http://www.comebackearlytoday.com/tag/memory-loss/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/memory-loss/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:38	831/831	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:36%20GMT	http://www.comebackearlytoday.com/tag/visiting/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/tag/visiting/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:39	861/861	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:37%20GMT	http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/trackback/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/visit-loved-alzheimers-recognize/trackback/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:40	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:37%20GMT	http://www.comebackearlytoday.com/2017/09/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2017/09/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:41	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:38%20GMT	http://www.comebackearlytoday.com/2017/08/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2017/08/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:41	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:39%20GMT	http://www.comebackearlytoday.com/2015/04/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2015/04/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:42	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:40%20GMT	http://www.comebackearlytoday.com/2015/03/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2015/03/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:43	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:40%20GMT	http://www.comebackearlytoday.com/2015/02/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2015/02/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:44	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:41%20GMT	http://www.comebackearlytoday.com/2015/01/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2015/01/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:44	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:42%20GMT	http://www.comebackearlytoday.com/2014/12/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2014/12/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:45	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:43%20GMT	http://www.comebackearlytoday.com/2014/11/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2014/11/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:46	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:43%20GMT	http://www.comebackearlytoday.com/2014/10/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2014/10/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
21:56:47	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:44%20GMT	http://www.comebackearlytoday.com/2014/09/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/2014/09/index.html	(from http://www.comebackearlytoday.com/visit-loved-alzheimers-recognize/)
